No.,大項目,中項目,ページ,単語,品詞,意味,発音,例文,和訳
1,ＮＨ,１年,2-5,morning,名詞,朝、午前,[モーニング],Good morning.,おはようございます。
2,ＮＨ,１年,2-5,name,名詞,名前,[ネーム],"Hi, my name is Ken.",こんにちは、私の名前はケンです。
3,ＮＨ,１年,2-5,tennis,名詞,テニス,[テニス],Hello! I'm Emma.,こんにちは！私はエマです。
6,ＮＨ,１年,2-5,my,代名詞,私の,[マイ],My cat is cute.,私の猫はかわいいです。
7,ＮＨ,１年,2-5,meet,動詞,…と会う,[ミート],I want to meet you.,あなたに会いたいです。
8,ＮＨ,１年,6-7,am,動詞,…です、…だ,[アム],I am from the city.,私は街の出身です。
9,ＮＨ,１年,6-7,is,動詞,…です、…だ,[イズ],This is an egg.,これは卵です。
10,ＮＨ,１年,6-7,like,動詞,…を好む、…が好きである,[ライク],I like music.,私は音楽が好きです。
12,ＮＨ,１年,6-7,nice,形容詞,すてきな、よい,[ナイス],That's a nice dress!,それは素敵なドレスですね！
13,ＮＨ,１年,6-7,good,形容詞,よい,[グッド],This pizza is really good.,このピザは本当においしいです。
14,ＮＨ,１年,6-7,yes,副詞,はい、ええ,[イエス],"Yes, I understand.",はい、わかりました。
19,ＮＨ,１年,8-9,cat,名詞,ネコ,[キャット],The cat is sleeping on the sofa.,猫がソファで寝ています。
20,ＮＨ,１年,8-9,dog,名詞,イヌ,[ドッグ],My dog loves to run in the park.,私の犬は公園を走るのが大好きです。
21,ＮＨ,１年,8-9,egg,名詞,卵,[エッグ],I ate a boiled egg for breakfast.,朝ごはんにゆで卵を食べました。
22,ＮＨ,１年,8-9,flower,名詞,花,[フラワー],She gave me a beautiful flower.,彼女は私にきれいな花をくれました。
23,ＮＨ,１年,8-9,tree,名詞,木、樹木,[ツリー],There is a big tree in the garden.,庭に大きな木があります。
24,ＮＨ,１年,8-9,city,名詞,市、都市、都会,[シティ],Tokyo is a big city.,東京は大きな都市です。
25,ＮＨ,１年,8-9,evening,名詞,夕方、晩,[イーブニング],I go for a walk in the evening.,私は夕方に散歩に行きます。
26,ＮＨ,１年,8-9,pen,名詞,ペン,[ペン],Can I borrow your pen?,あなたのペンを借りてもいいですか？
27,ＮＨ,１年,8-9,ten,数詞,10（の）,[テン],I have ten apples.,私はりんごを１０個持っています。
28,ＮＨ,１年,8-9,sun,名詞,太陽、日,[サン],The sun is shining.,太陽が輝いています。
29,ＮＨ,１年,8-9,cup,名詞,カップ,[カップ],I drank a cup of coffee.,私はコーヒーを一杯飲みました。
30,ＮＨ,１年,8-9,map,名詞,地図,[マップ],Let's look at the map.,地図を見ましょう。
31,ＮＨ,１年,8-9,TV,名詞,テレビ（放送）,[ティーヴィー],I watched a movie on TV.,私はテレビで映画を見ました。
32,ＮＨ,１年,8-9,box,名詞,箱,[ボックス],The gift is in the box.,プレゼントは箱の中にあります。
33,ＮＨ,１年,8-9,bag,名詞,かばん、バッグ,[バッグ],I put my books in the bag.,私はバッグに本を入れました。
34,ＮＨ,１年,8-9,desk,名詞,机,[デスク],The desk is next to the window.,デスクは窓の横にあります。
35,ＮＨ,１年,8-9,bed,名詞,ベッド,[ベッド],She is lying on the bed.,彼女はベッドに横たわっています。
36,ＮＨ,１年,8-9,apple,名詞,リンゴ,[アップル],I ate an apple for breakfast.,朝ごはんにりんごを食べました。
37,ＮＨ,１年,8-9,bat,名詞,バット,[バット],The bat flew across the sky.,コウモリが空を飛んでいました。
38,ＮＨ,１年,8-9,gorilla,名詞,ゴリラ,[ゴリラ],The gorilla is eating bananas.,ゴリラはバナナを食べています。
39,ＮＨ,１年,8-9,horse,名詞,ウマ,[ホース],The horse ran across the field.,馬は野原を駆け抜けました。
40,ＮＨ,１年,8-9,ink,名詞,インク,[インク],She wrote a letter with ink.,彼女はインクで手紙を書きました。
41,ＮＨ,１年,8-9,koala,名詞,コアラ,[コアラ],The koala is sleeping in the tree.,コアラは木の中で寝ています。
42,ＮＨ,１年,8-9,log,名詞,丸太,[ログ],The log was floating in the river.,丸太は川に浮かんでいました。
43,ＮＨ,１年,8-9,monkey,名詞,サル,[モンキー],The monkey is swinging from the tree.,猿は木から木へとぶら下がっています。
44,ＮＨ,１年,8-9,net,名詞,網、ネット,[ネット],He caught the ball with the net.,彼はネットでボールをキャッチしました。
45,ＮＨ,１年,8-9,octopus,名詞,タコ,[オクトパス],The octopus has eight arms.,タコには本の腕があります。
46,ＮＨ,１年,8-9,pan,名詞,フライパン,[パン],I fried eggs in a pan.,フライパンで卵を焼きました。
47,ＮＨ,１年,8-9,queen,名詞,女王、王妃,[クイーン],The queen wore a beautiful crown.,女王は美しい王冠をかぶっていました。
48,ＮＨ,１年,8-9,rabbit,名詞,ウサギ,[ラビット],The rabbit hopped across the garden.,うさぎは庭を跳ね回っていました。
49,ＮＨ,１年,8-9,snake,名詞,ヘビ,[スネーク],The snake slithered through the grass.,ヘビは草の中を這っていました。
50,ＮＨ,１年,8-9,umbrella,名詞,傘,[アンブレラ],She opened the umbrella because it was raining.,雨が降っていたので、彼女は傘を開きました。
51,ＮＨ,１年,8-9,wolf,名詞,オオカミ,[ウルフ],The wolf howled at the moon.,狼は月に向かって遠吠えをしました。
52,ＮＨ,１年,8-9,fox,名詞,キツネ,[フォックス],The fox ran quickly through the forest.,キツネは森の中を素早く走りました。
53,ＮＨ,１年,8-9,gym,名詞,体育館,[ジム],I work out at the gym every day.,私は毎日ジムでトレーニングをしています。
54,ＮＨ,１年,8-9,apron,名詞,エプロン,[エプロン],She wears an apron while cooking.,彼女は料理をしているとき、エプロンを着ます。
55,ＮＨ,１年,8-9,ice,名詞,氷,[アイス],I like to eat ice in summer.,夏に氷を食べるのが好きです。
56,ＮＨ,１年,8-9,ocean,名詞,大洋、海,[オーシャン],The ocean is very blue.,海はとても青いです。
57,ＮＨ,１年,8-9,uniform,名詞,制服、ユニフォーム,[ユニフォーム],He wears a uniform to school.,彼は学校に制服を着て行きます。
58,ＮＨ,１年,8-9,fan,名詞,扇、うちわ、扇風機,[ファン],The fan is spinning fast.,扇風機が速く回っています。
59,ＮＨ,１年,8-9,hat,名詞,（ふちのある）帽子,[ハット],I have a red hat.,私は赤い帽子を持っています。
60,ＮＨ,１年,8-9,cap,名詞,（ふちがない）帽子,[キャップ],He wore a cap to the game.,彼はゲームにキャップをかぶっていました。
61,ＮＨ,１年,8-9,mop,名詞,モップ,[モップ],I clean the floor with a mop.,私はモップで床を掃除します。
62,ＮＨ,１年,8-9,milk,名詞,牛乳、ミルク,[ミルク],I drink milk every morning.,私は毎朝牛乳を飲みます。
